,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,vintage
10,US,"Light in the glass, this single-vineyard bottling shows approachable red cherry, sweet sagebrush and slight caramelization on the nose. The rustic red-cherry flavors of the palate are lifted by white pepper and a pure bright acidity that's quite racy and exciting.",La Encantada Vineyard,91,50.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Montemar Wines 2013 La Encantada Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Montemar Wines,2013
11,US,"Fully ripe and rich, this mouthfilling wine oozes black plum and clove aromas, vibrant black-cherry and coriander flavors and is bolstered by firm tannins and a full body. It's big, bold and complex at the same time.",,91,15.0,California,California,California Other,Jim Gordon,@gordone_cellars,The Crusher 2016 Pinot Noir (California),Pinot Noir,The Crusher,2013
12,US,"Lush and plump aromas of vanilla, black-cherry sauce, roasted rhubarb, strawberry and slate show on the nose of this producer's top-tier bottling. The palate is soft at first and then the oaky tannins arise to give structure, which is required for the plush ripe baked strawberry fruit. The flavors still need time to come together.",Primera Edna Ranch,91,130.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2016 Primera Edna Ranch Pinot Noir (Edna Valley),Pinot Noir,Tolosa,2013
13,US,"This is a clear, bright and light-bodied red, the grapes grown on the producer's estate. Earthy mushroom, forest floor and black tea provide a savory backdrop that remains fresh in the glass thanks to buoyant acidity.",,91,25.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Ron Rubin 2016 Pinot Noir (Russian River Valley),Pinot Noir,Ron Rubin,2013
14,US,"Light, fresh and a perfect pairing for everything from burritos to roasted fish, this bottling is very light in the glass and shows soft strawberry and a hint of sweet sagebrush on the nose. The palate throws light hints of bay leaf and juniper in with strawberry soda pop flavors, proving quite fruity and likable.",Shokrian Vineyard,91,65.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Whitcraft 2016 Shokrian Vineyard Pinot Noir (Santa Barbara County),Pinot Noir,Whitcraft,2013
15,France,"This is young Pinot Noir, still stalky and tightly textured. Cherry aromas are followed on the palate by crisp blackberry and cherry flavors. The wine has the weight to develop well, although it will need some time to smooth out its edges. Drink from 2020.",Bué,90,28.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,François Millet 2016 Bué  (Sancerre),Pinot Noir,François Millet,2013
16,US,"A slight bit of age is showing on this bottling, but in pleasing ways for now. Aromas of nutmeg and vanilla decorate the core of red currant, cranberry and hibiscus. The palate is snappy with tart raspberry that sits atop mace, baked earth and dried carnation flavors.",Bentrock Vineyard,90,48.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Montemar Wines 2013 Bentrock Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Montemar Wines,2013
17,US,"A small-production wine from a two-acre site, this offers super earthy, rustic aromas of rose petal, geranium and subtle wild strawberry. This red is a bold full-bodied wine that holds its undeniable ripeness in check.",Estate Grown,90,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,O'Connell Vineyard 2016 Estate Grown Pinot Noir (Russian River Valley),Pinot Noir,O'Connell Vineyard,2013
18,US,"Sultry aromas of dried sage, crumbled bay leaf, rust and rose buds meet with dark hibiscus and mulberry fruit on the nose of this bottling. There is a solid rounded weight to the palate, where ripe cranberry, tart red plum and raspberry meet with dark spice and well primed acidity.",1772 Stone Lion Edna Ranch,90,65.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2016 1772 Stone Lion Edna Ranch Pinot Noir (Edna Valley),Pinot Noir,Tolosa,2013
19,US,"Rich, soft and mouthfilling, this wine from Francis Ford Coppola has plenty of ripe black-cherry, black-plum and strawberry flavors, a broad mouthfeel and gentle texture. Light on acidity and heavy on fruitiness, it's easy to enjoy.",,90,19.0,California,California,California Other,Jim Gordon,@gordone_cellars,Bee's Box 2016 Pinot Noir (California),Pinot Noir,Bee's Box,2013
20,US,"This young bottling is light and a bit cloudy in the glass, and shows tons of underripe fruit character, including tomato leaf, light cranberry and tapenade, and also intriguing incense ash and crushed slate minerality. It's vibrant with acidity, showing flavors of cherry tomato, white pepper and more tapenade, sure to fascinate geeks but likely too challenging for most.",Kick-On Ranch,89,65.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Whitcraft 2016 Kick-On Ranch Pinot Noir (Santa Barbara County),Pinot Noir,Whitcraft,2013
21,US,"Enjoy this wine for its light, fruity black-cherry flavors enhanced by hints of cinnamon and black tea. Good acidity and mild tannins balance out the fruit and spice flavors nicely.",,89,15.0,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,Steelhead Vineyards 2016 Pinot Noir (North Coast),Pinot Noir,Steelhead Vineyards,2013
22,US,"Fresh cranberry, carnation and raspberry aromas pick up a slightly caramelized vanilla-like note on the nose of this single-vineyard expression. Alpine strawberry flavors are enhanced by crushed black pepper and rose petals, with the tannins proving impressively stiff almost five years in.",Zotovich Vineyard,89,46.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Montemar Wines 2013 Zotovich Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Montemar Wines,2013
23,US,"A rich take on the grape, this bottling shows tons of cola, sarsaparilla and hickory spice atop the rhubarb, red fruit and crushed earth minerality. The oak influence shows on the sip too, where caramelized red currants, baking spice and roast pork flavors converge for a hearty experience.",Apex Vineyard,89,115.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2016 Apex Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Tolosa,2013
24,France,"This organic bottling leads with inviting scents of garrigue, red currant and wild strawberry. A pleasant thread of orange zest weaves throughout, lending freshness and vibrancy to the fruit-forward palate. The tannins are fine and the finish is dry, with a final dusting of sweet spice on the close. Clean and easy drinking, enjoy now.",Made with Organic Grapes Elegantly French,88,10.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Les Domaines Auriol Claude Vialade 2016 Made with Organic Grapes Elegantly French Pinot Noir (Pays d'Oc),Pinot Noir,Les Domaines Auriol Claude Vialade,2013
25,US,"This bottling, which blends 36% Mendocino County, 34% Monterey County and 30% San Luis Obispo County fruit, shows grenadine, dark cherry, pepper and mulberry on the very intriguing nose. Cooked black plums, Earl Grey tea and rosewater show on the sip.",,88,15.0,California,California,California Other,Matt Kettmann,@mattkettmann,Contour 2016 Pinot Noir (California),Pinot Noir,Contour,2013
26,US,"Rusty red cherry, piquant black raspberry, sagebrush and a touch of tobacco make for a slightly rustic, ever so slightly funky take on the grape. Baked strawberry, anise, white sage and a hint of cooked meats show on the palate.",,88,29.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Ex 2016 Pinot Noir (Monterey),Pinot Noir,Ex,2013
27,US,"Tart raspberry, tuned earth, garrigue and a touch of gaminess show on the nose of this bottling. Black pepper spice and woody flavors show on the sip alongside mossy forest-floor notes.",Hollister Edna Ranch,88,115.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2016 Hollister Edna Ranch Pinot Noir (Edna Valley),Pinot Noir,Tolosa,2013
28,France,"Red cherry, currant, rhubarb and pomegranate waft from the glass of this elegant and bright Pinot Noir. Hints of sweet spice and foliage lend depth, spicing up the bouquet and carrying through the palate to the medium-length finish. It's silky in texture, with clean fruit flavors and a pleasant black tea-like astringency.",,87,12.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Le Charmel 2016 Pinot Noir (Pays d'Oc),Pinot Noir,Le Charmel,2013
29,France,"There are some subtle herbal, earthy accents to the ripe berry and plum fruit on the nose and mouth of this friendly wine. It's soft in feel, with a satiny texture and ample acidity to balance the ripe fruit flavors. A kiss of sweet spice graces the close. Drink now.",,87,13.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Paul Ponnelle 2016 Pinot Noir (Pays d'Oc),Pinot Noir,Paul Ponnelle,2013
30,France,"This is a lighter style of Pinot Noir than some produced in Sancerre today. It brings out perfumes and red-cherry flavors lifted by acidity. The wine is fruity, with hints of wood aging and a juicy aftertaste. Drink now.",Les Baronnes,87,27.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Henri Bourgeois 2013 Les Baronnes  (Sancerre),Pinot Noir,Henri Bourgeois,2013
31,US,"Ripeness abounds in this densely plummy Pinot Noir. Full bodied and plush in style, its fruit profile suggests notes of maturity—flavors of prune and dried cherry glazed in sweet balsamic. The finish is a bit earthier, lingering on notes of spice and forest floor.",,87,25.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Ventosa 2013 Pinot Noir (Finger Lakes),Pinot Noir,Ventosa,2013
32,France,The wine has tannins and a dry core that is fleshed out with red-berry fruits. At three-years-old it is already maturing with a rustic edge as well as spice and berry fruits. This is ready to drink.,Clos de Grands Voyens Premier Cru,87,35.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaine Jeannin-Naltet 2013 Clos de Grands Voyens Premier Cru  (Mercurey),Pinot Noir,Domaine Jeannin-Naltet,2013
33,New Zealand,"Actor-proprietor Sam Neill isn't what you'd call a shy fellow, and neither is this wine. It's assertive from start to finish, offering roasted beet and toasty oak aromas, cedary flavors and a dry, astringent finish. Try it after 2018 to see if the oak has come into more harmonious balance.",The Last Chance Earnscleugh Vineyard Proprietor's Reserve,87,79.0,Central Otago,,,Joe Czerwinski,,Two Paddocks 2013 The Last Chance Earnscleugh Vineyard Proprietor's Reserve Pinot Noir (Central Otago),Pinot Noir,Two Paddocks,2013
34,US,"This wine has a floral, almost sweet aroma, followed by tasty, tangy cherry and raspberry flavors and a lip-smacking finish.",,86,20.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Saint Gregory 2013 Pinot Noir (Mendocino County),Pinot Noir,Saint Gregory,2013
35,France,"Light in color, this is an earthy wine with its undergrowth flavors and red fruits that are becoming mature. It is a soft wine, the tannins gently cushioned by the fruit and plum feel of the wine. This is ready to drink.",Vieilles Vignes,86,25.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaine Jeannin-Naltet 2013 Vieilles Vignes  (Mercurey),Pinot Noir,Domaine Jeannin-Naltet,2013
36,US,"A fascinating feral quality wraps around this wine, redolent of mottled animal hair, raw meat and scraped earth, like the scene of a freshly hunted wild boar. Aromas of mulberry and dark strawberry also show on the nose, while the palate dives deep into turned earth, shiitake mushrooms, juniper, stewed bay leaf, wild cherry and elderflower liqueur. The acidity also pops and the texture grips firmly.",Mills,95,62.0,California,Mt. Harlan,Central Coast,Matt Kettmann,@mattkettmann,Calera 2013 Mills Pinot Noir (Mt. Harlan),Pinot Noir,Calera,2013
37,US,"This wine is wound extremely tight, but opens like a lotus with decanting or overnight patience. Aromas of rose buds, black-raspberry extract, wet clay and dried purple flowers show on the nose, bolstered by the slightest smoky kiss of oak. Savory flavors of roasted black-plum skins and elderberry meet with soy, graphite and loam on the palate, which will gain amazing tertiary flavors with time. Drink 2018–2028.",Estate Grown,95,62.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Mount Eden Vineyards 2013 Estate Grown Pinot Noir (Santa Cruz Mountains),Pinot Noir,Mount Eden Vineyards,2013
38,US,"Fragrant lilacs and plump mulberries mix with black clove, allspice, pine needles and dark earth tones on this bottling by Josh Jensen from this 4.8-acre vineyard. The palate presents hearty sagebrush spice and an easily enjoyable character of black cherry that lead into the more complex pine sap, bay leaf, wild thyme and euclalytpus components.",Selleck Vineyard,95,95.0,California,Mt. Harlan,Central Coast,Matt Kettmann,@mattkettmann,Calera 2013 Selleck Vineyard Pinot Noir (Mt. Harlan),Pinot Noir,Calera,2013
39,US,"The best Grace to date, the wonderfully fruity entry bounces along, offering a punch bowl full of spicy cherries, with extensive highlights. Sniff and taste streaks of clove, coffee, fresh earth and mushroom—all clean and harmonious. This may be drunk immediately with enjoyment, or set aside as your special occasion wine with a decade or more of ageability.",Grace Vineyard,94,185.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2013 Grace Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Domaine Serene,2013
40,US,"This amazing wine can match up against wines double the price. Brawny red berries and wild cherries mix with cut sagebrush, eucalyptus and crushed graphite on the nose. The palate combines bright red, acid-driven raspberry fruit with the darker structure of elderberry. Throw in thyme and bay leaf for the complete package.",,93,25.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Sarah's Vineyard 2013 Pinot Noir (Central Coast),Pinot Noir,Sarah's Vineyard,2013
41,France,"The faintest note of caramel precedes hints of baked red apples. This is soft and generous, mellow and smooth, supported by very fine mousse and pervaded by subtle freshness. All the structure and richness of Pinot Noir are evident in this elegant rosé. Its purity and poise is outstanding, its flavors linger and last. This is immensely rich yet slender: clearly the art of zero-dosage has been mastered here completely.",Brut Zéro Rosé,93,35.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Zusslin 2013 Brut Zéro Rosé Pinot Noir (Alsace),Pinot Noir,Zusslin,2013
42,US,"This tiny-production wine from a great vineyard sings in a layered perfume of roses, forest floor, pomegranate and more nuanced elements of cola and dark cherry. Bright and elegant within a substantive body, it is inviting in equal measures of plant, fruit and spice, showing tremendous taste.",Chenoweth Vineyard,93,43.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Mersenne 2013 Chenoweth Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Mersenne,2013
43,US,"As with its companion releases, the inviting aromatics capture your attention. On the palate, the wine offers classic varietal flavors of berry and tart plum, along with nuanced highlights of sassafras, bramble and a slight hint of hemp. Concentrated and compact, it should cellar well for at least a decade. Drink now through 2026.",Winery Hill Vineyard,93,90.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2013 Winery Hill Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Domaine Serene,2013
44,US,"Dark hibiscus and pomegranate notes meet with black plum, hearty clove, allspice and dried violets on the nose of this very heady wine. Thickly structured with dense tannins on the palate, it speaks strongly of the rocky, rugged appellation, with boysenberry, dried fennel and wild-thyme flavors. Drink 2017–2023.",,93,40.0,California,Chalone,Central Coast,Matt Kettmann,@mattkettmann,Michaud 2013 Pinot Noir (Chalone),Pinot Noir,Michaud,2013
45,US,"Juicy hibiscus and pomegranate fruits converge with dried fennel stalks, purple flowers and a flinty smoke character on the fresh and inviting nose of this bottling from Rick Longoria's own vineyard. The energy that emerges on the sip is amazingly persistent, which guarantees long aging, presenting flavors of raspberry, pomegranate, dried sagebrush and black licorice. Drink 2017–2028.",Fe Ciega Vineyard,93,55.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Longoria 2013 Fe Ciega Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Longoria,2013
46,US,"This is a structured, full-bodied, generously layered wine, named for the soil in which its grapevines are grown. This is primarily on hillsides, where the fruit takes on a brooding quality of spiciness and texture. Baked cherry, cranberry and rose petals stand out most, as additional nuances of earthiness come into play in the glass.",Altamont,93,60.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dehlinger 2013 Altamont Pinot Noir (Russian River Valley),Pinot Noir,Dehlinger,2013
47,US,"Peppery herbal notes populate the nose, leading into flavors of brambly red fruits. The wine gathers strength on the midpalate, finishing with a flourish of strawberry preserves. There's a touch of rhubarb pie and a dusting of cocoa in the mix as well, and for an Oregon Pinot Noir made in such quantities (more than 10,000 cases) it offers exceptional depth and density.",Evenstad Reserve,92,70.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2013 Evenstad Reserve Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene,2013
48,US,"This is smooth and open, a mix of fresh cranberry and raspberry fruit, underscored by minerality and acidity. Still young and primary, it offers light highlights of milk chocolate from aging 15 months in 62% new French oak. It's a wine of impeccable balance, with a seamless finish and silky smooth tannins. Drink now and through 2022.",Fleur de Lis Vineyard,92,90.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2013 Fleur de Lis Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Domaine Serene,2013
49,US,"Appealing complexities appear right from the first sniff, with a mix of rhubarb, tomato leaf, berry, cherry and plum. There is a suggestion of tanned leather, and the brambly fruit flavors carry a lemon-rind edge into a tightly framed, lightly toasty finish.",Two Barns Vineyard,92,90.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2013 Two Barns Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Domaine Serene,2013
50,US,"This entry-level Pinot from Domaine Serene outshines more than a few Oregon reserves. It's splendidly clear, refined and aromatic, with a tantalizingly smoky note in play. There is a pleasing dusty character to the cherry fruit and the finish is dappled with highlights of cinnamon toast. It's flat-out irresistible.",Yamhill Cuvée,92,45.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2013 Yamhill Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene,2013
51,US,"Goldridge honors the soil series so important in the appellation, offering floral aromas that lead into silky-smooth texture with tension. Earthy, it conjures notions of fresh-picked strawberry, black tea and kirsch, with an approachability that doesn't distract from its complexity.",Goldridge,92,48.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dehlinger 2013 Goldridge Pinot Noir (Russian River Valley),Pinot Noir,Dehlinger,2013
52,US,"This is a sultry, leathery and sinewy wine, dark in tannin and oak and a full-bodied ripeness of dense fruit that delves into savory Asian spice. Powerful, it combines a wealth of clones to good effect, aging for 17 months in new French oak, 83% of it new.",Reserve,91,60.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,En Garde 2013 Reserve Pinot Noir (Russian River Valley),Pinot Noir,En Garde,2013
53,US,"Strawberries, red currants and root beer come out at first, with cherry soda bringing up the rear. This forward, fresh and fruity wine is drinking well right now, and should be consumed through 2019.",Elton,90,55.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2013 Elton Pinot Noir (Eola-Amity Hills),Pinot Noir,Willamette Valley Vineyards,2013
54,US,"This bold, boisterous wine offers a depth of black cherry and is expansive on the palate, tingling in spicy acidity and swathes of cinnamon-laced cola. Silky smooth, it hails from a selection of Dutton Ranch-farmed vineyards, including Thomas Road and Manzana, and delivers full-bodied flavor.",Karmen Isabella Dutton Ranch,90,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dutton Estate 2013 Karmen Isabella Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton Estate,2013
55,US,"There's an exuberance of succulent black cherry and raspberry within this medium-bodied to lighter-style of wine. It offers a stronger presence of fruit and spicy clove and cinnamon on the palate than on the nose. Leathery, firm tannins provide support without distraction.",Laguna de Santa Rosa,90,39.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Pech Merle 2013 Laguna de Santa Rosa Pinot Noir (Russian River Valley),Pinot Noir,Pech Merle,2013
56,France,"While this is pink fizz, its intent is serious and showcases the structure of Pinot Noir. The palate is dry and displays some pleasant bitterness around the edges, accentuating both dryness and austerity. This will work better at the table—say with salmon sashimi—rather than as an apéritif. This is a serious wine, so explore its hidden charms.",Poussière d'Etoiles Rosé Zéro Dosage,90,20.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Vignoble des 2 Lunes 2013 Poussière d'Etoiles Rosé Zéro Dosage Pinot Noir (Alsace),Pinot Noir,Vignoble des 2 Lunes,2013
57,US,"Veteran winemaker John Abbott (Chalone, Canoe Ridge, Abeja) jumps back on the Pinot Noir wagon with this new project. This is the second vintage for his Freedom Hill designate, a vintage that was notoriously difficult due to monsoon-like rains mid-harvest. Abbott cajoles the grapes into an elegant, refined expression of high-acid Pinot Noir. Slightly saline, with mountain strawberry fruit and autumnal (forest floor) accents, this is lean but polished, and should cellar well now through 2022.",Freedom Hill Vineyard,90,50.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Devona 2013 Freedom Hill Vineyard Pinot Noir (Oregon),Pinot Noir,Devona,2013
58,US,"Assembled from the best barrels of the vintage, this low-alcohol wine is chewy and forward, with strawberry fruit, cola and a whiff of the chicken yard. It all comes together seamlessly and is immediately drinkable. Best enjoyed now through 2019.",The MacDougall,89,40.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Thistle 2013 The MacDougall Pinot Noir (Dundee Hills),Pinot Noir,Thistle,2013
59,US,"Presenting at first as somewhat reduced, this wine is tart and feral, with a muskiness reminiscent of mushroom and forest floor. Its intensely voluptuous body is concentrated in black cherry, cola and cardamom, with a richness and roundness on the palate and finish.",Wildcat Mountain,89,56.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Talisman 2013 Wildcat Mountain Pinot Noir (Sonoma Coast),Pinot Noir,Talisman,2013
60,US,"The producer's smallest-production red from the vintage, and its fourth bottling from the east-sloping blocks of its estate vineyard, this wine is full and lush on the palate, yet elegantly crafted to reveal pine forest, grenadine and a persistence of floral and herbal notes. Smooth and integrated, it presents a rose garden's worth of beauty that lingers on the finish.",East Slope Single Vineyard,92,90.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Donum 2013 East Slope Single Vineyard Pinot Noir (Carneros),Pinot Noir,Donum,2013
61,US,"This is a big, muscular wine with great structure and lots of enticing spicy oak and fruit flavors. It's full bodied, firmly tannic and very appetizing.",Outland Ridge,92,35.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Jackson Estate 2013 Outland Ridge Pinot Noir (Anderson Valley),Pinot Noir,Jackson Estate,2013
62,US,"Another tiny production, made in a different style from many of the other designates released by the producer this year, Ten Oaks is named for the, yes, 10 trees bordering the vineyard. Medium in tannin and oak, with a surprising lightness of being, it shows a citrus-like quality that makes it refreshing, while a sublime texture keeps rolling along the tongue.",Ten Oaks Single Vineyard,92,72.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Donum 2013 Ten Oaks Single Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Donum,2013
63,US,"The color of this wine is deep and dark, and the aromas and flavors both have lots of plump black cherry, baking spice and clove tones. It's dry, full bodied and pretty massive in terms of mouthfeel, so this is not a delicate flower and is best enjoyed with heartier fare or after some time to open.",Stormin',92,66.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Maggy Hawk 2013 Stormin' Pinot Noir (Anderson Valley),Pinot Noir,Maggy Hawk,2013
64,US,"Baked red plum, black cherry, sagebrush, graphite and budding hibiscus aromas show on the rich and minerally nose of this bottling. The palate is very inviting and lavish, with pungent dark red fruits of cherry and black plum enhanced by allspice, ginger and black pepper.",Diamond T Vineyard Estate Grown,92,52.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Talbott 2013 Diamond T Vineyard Estate Grown Pinot Noir (Monterey),Pinot Noir,Talbott,2013
